temp,vmin,vmax,volt
80.15,0.76,0.76,0.2
85,0.7,0.73,0.2
87.5,0.74,0.76,0.19
88,0.72,0.72,0.72
88.5,0.68,0.69,0.685
89,0.6,0.61,0.605
89.5,0.36,0.37,0.365
90,0.19,0.22,0.205
90.5,1.2,1.2,1.2
91,2.25,2.25,2.25
91.5,2.88,2.89,2.885
92,3.18,3.19,3.185
92.5,3.27,3.27,3.27
93,3.35,3.36,3.355
93.5,3.42,3.42,3.42
94,3.46,3.47,3.465
94.5,3.51,3.52,3.515
95,3.57,3.66,3.615
100,3.99,3.99,3.99
105,4.32,4.33,4.325
110,4.6,4.6,4.6
115,4.87,4.87,4.87
120,5.1,5.1,5.1
130,5.54,5.54,5.54
140,5.95,5.96,5.955
150,6.33,6.33,6.33
160,6.7,,6.7
109,3.8,3.81,3.805
109.5,4.2,4.21,4.205
110,4.54,4.56,4.55
110.5,4.84,4.84,4.84
111,5.08,5.08,5.08
111.5,5.25,5.25,5.25
112,5.45,5.45,5.45
112.5,5.59,5.59,5.59
115,6.07,6.08,6.075
120,6.59,6.59,6.59
125,6.9,6.9,6.9
130,7.16,7.16,7.16
140,7.59,7.59,7.59
150,7.98,7.98,7.98
160,8.32,8.33,8.325
